festival_a,festival_b,shared_film_count
Encounters Short Film and Animation Festival,Las Palmas Film Festival,9
AFI Fest,Annecy International Animation Festival,9
AFI Fest,Toronto International Film Festival,9
Montreal International Documentary Festival,Encounters Short Film and Animation Festival,9
Locarno International Film Festival,Internationale Kurzfilmtage Winterthur,9
Clermont-Ferrand International Short Film Festival,International Film Festival Rotterdam,9
Encounters Short Film and Animation Festival,British Independent Film Awards,9
SXSW Film Festival,Milwaukee International Film Festival,9
Clermont-Ferrand International Short Film Festival,AFI Fest,9
AFI Fest,Internationale Kurzfilmtage Winterthur,9
Clermont-Ferrand International Short Film Festival,BFI London Film Festival,9
Encounters Short Film and Animation Festival,Brussels Short Film Festival,9
Helsinki International Film Festival - Love & Anarchy,Milwaukee International Film Festival,9
Krakow Film Festival,IndieLisboa International Independent Film Festival,9
Seattle International Film Festival,Sundance Film Festival,9
Vancouver International Film Festival,Annecy International Animation Festival,9
AFI Fest,Bilbao International Festival of Documentary and Short Films,9
AFI Fest,Athens International Film and Video Festival,9
New York Film Festival,Viennale,9
FEST - New Directors / New Films,Internationale Kurzfilmtage Winterthur,9
Melbourne International Film Festival,Annecy International Animation Festival,9
Seville European Film Festival,Helsinki International Film Festival - Love & Anarchy,9
AFI Fest,Guanajuato International Film Festival,9
Krakow Film Festival,Bilbao International Festival of Documentary and Short Films,9
São Paulo International Short Film Festival – Curta Kinoforum,Melbourne International Film Festival,9
Encounters Short Film and Animation Festival,San Sebastián International Film Festival,9
Seattle International Film Festival,SXSW Film Festival,9
Solothurn Film Festival,Guanajuato International Film Festival,9
Edinburgh International Film Festival,Annecy International Animation Festival,9
Clermont-Ferrand International Short Film Festival,Locarno International Film Festival,9
IndieLisboa International Independent Film Festival,DOK Leipzig,9
Guadalajara International Film Festival,Annecy International Animation Festival,9
Athens International Film and Video Festival,Curtas Vila do Conde International Film Festival,9
Encounters Short Film and Animation Festival,Philadelphia Film Festival,9
Krakow Film Festival,Helsinki International Film Festival - Love & Anarchy,9
Valladolid International Film Festival,Tallinn Black Nights Film Festival,9
Dokufest International Documentary and Short Film Festival,Festival du Nouveau Cinéma,9
BFI London Film Festival,Festival du Nouveau Cinéma,9
Ghent Film Festival,Tallinn Black Nights Film Festival,9
Clermont-Ferrand International Short Film Festival,Curtacinema - Rio de Janeiro International Short Film Festival,8
Solothurn Film Festival,Tallinn Black Nights Film Festival,8
Ghent Film Festival,Cannes Film Festival,8
Tallinn Black Nights Film Festival,Uppsala Short Film Festival,8
Internationale Kurzfilmtage Winterthur,Vilnius International Film Festival (Kino Pavasaris),8
Bilbao International Festival of Documentary and Short Films,Hong Kong International Film Festival,8
Cannes Film Festival,Helsinki International Film Festival - Love & Anarchy,8
Helsinki International Film Festival - Love & Anarchy,Sarajevo Film Festival,8
Valladolid International Film Festival,Palm Springs International ShortFest,8
Sundance Film Festival,Bilbao International Festival of Documentary and Short Films,8
